31_1	What is throat cancer?
31_2	Is it treatable?
31_3	Tell me about lung cancer.
31_4	What are its symptoms? 
31_5	Can it spread to the throat?
31_6	What causes throat cancer?
31_7	What is the first sign of it?
31_8	Is it the same as esophageal cancer?
31_9	What's the difference in their symptoms?
32_1	What are the different types of sharks?
32_2	Are sharks endangered?  If so, which species?
32_3	Tell me more about tiger sharks.
32_4	What is the largest ever to have lived on Earth?
32_5	What's the biggest ever caught?
32_6	What about for great whites?
32_7	Tell me about makos.
32_8	What are their adaptations?
32_9	Where do they live?
32_10	What do they eat?
32_11	How do they compare with tigers for being dangerous?
33_1	Tell me about the Neverending Story film.
33_2	What is it about?
33_3	How was it received?
33_4	Did it win any awards?
33_5	Was it a book first?
33_6	Who was the author and when what it published?
33_7	What are the main themes?
33_8	Who are the main characters?
33_9	What are the differences between the book and movies?
33_10	Did the horse Artax really die?
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for it?
34_3	What are some of the possible causes?
34_4	Who were the Sea Peoples?
34_5	What was their role in it?
34_6	What other factors led to a breakdown of trade?
34_7	What about environmental factors?
34_8	What empires survived?
34_9	What came after it?
35_1	Tell me about the history of toilets.
35_2	Where does the term come from?
35_3	Where and when was the first invented?
35_4	Why do the Brits call it a loo?
35_5	What came before them?
35_6	When did indoor versions become common?
35_7	How many types are there?
35_8	Why are they so important for society?
35_9	What is their role in film?
36_1	What is the US Electoral College?
36_2	How does it work?
36_3	Tell me about its creation.
36_4	Why was the system chosen?
36_5	How has it changed over time?
36_6	What if the electors don't vote for the pledged candidate?
36_7	How has this changed election outcomes?
36_8	Who are the Hamilton Electors and what were they trying to do?
36_9	How would the College be abolished?
36_10	How does the National Popular Vote Interstate Compact work?
36_11	Is it legal?
37_1	What was the Stanford Experiment?
37_2	What did it show?
37_3	Tell me about the author of the experiment.
37_4	Was it ethical?
37_5	What are other similar experiments?
37_6	What happened in the Milgram experiment?
37_7	Why was it important?
37_8	What were the similarities and differences between the studies?
37_9	What about the BBC experiment?
37_10	What are the key findings?
37_11	How did the results differ?
37_12	Why was it ended?
38_1	What is Lyme disease?
38_2	How do you get Lyme Disease?
38_3	How does it make you feel?
38_4	What happens if it goes untreated?
38_5	Can it kill you?
38_6	How reliable is the test?
38_7	Can it be cured?
38_8	What is Chronic Lyme?
39_1	What does it mean to be a vegan?
39_2	What is the environmental argument for it?
39_3	Do you need milk for strong bones?
39_4	What are other good sources of calcium?
39_5	If you don't eat any meat, at all, is it bad for you?
39_6	What are good sources of vitamin B12?
39_7	Does it help you lose weight?
39_8	What about its health effects versus being vegetarian?
39_9	How does the environmental impact compare between them?
40_1	What are the origins of popular music? 
40_2	What are its characteristics?
40_3	What technological developments enabled it?
40_4	When and why did people start taking pop seriously? 
40_5	How has it been integrated into music education? 
40_6	Describe some of the influential pop bands. 
40_7	What makes a song pop punk?
40_8	What is the difference between it and emo?
40_9	How did Britpop change music?
40_10	What are its roots and what influenced it?
41_1	Why is the drinking age in the US 21 and not 18?
41_2	What were the pros and cons?
41_3	Tell me about the negative health effects of drinking.
41_4	How does binge drinking affect development?
41_5	Can it damage mental health?
41_6	What are the short and long-term effects of usage on brain chemicals?
41_7	Are alcoholics generally depressed?
41_8	What are the effects on vitamins and minerals?
41_9	Are there any benefits?
42_1	What is Chattanooga famous for?
42_2	What is there to do in downtown Chattanooga?
42_3	Are there tourism activities related to trucks or trains?
42_4	Are there any related to Bessie Smith?
42_5	Can I visit some nearby distilleries?
42_6	What is Rock City, and why is it famous?
42_7	Are special events held there?
42_8	What kind of food is Chattanooga known for?
43_1	What are some interesting things around Ann Arbor?
43_2	Tell me about when the city was founded. 
43_3	How does it relate to the establishment of the University? 
43_4	Does the Museum of Art have any special collections?
43_5	What is the South Pond Nature Area?
43_6	Are there any film festivals?
43_7	How about for jazz?
43_8	What are popular bars or clubs where I can listen to it?
44_1	What causes acidic reflux in the morning?
44_2	Does it have long term side effects?
44_3	What is the best OTC for it?
44_4	What are the side effects of long term PPI use?
44_5	Tell me about natural treatments.
44_6	What foods cause it?
44_7	What ones reduce it? 
44_8	How does exercise affect it?
45_1	What dog breed is the best for playing?
45_2	What kind should I get if I’m allergic?
45_3	How about big and active dogs?
45_4	Do big dogs live longer than small dogs?
45_5	Will I need to put a lot of time into training?
45_6	Tell me about some breeds that are independent and can be left home all day.
45_7	How much does a Irish Wolfhound weigh?
45_8	How much do they cost?
46_1	Why is learning a second language difficult?
46_2	At what age is it harder and why?
46_3	If I already know English, which language would be the easiest to learn?
46_4	How can I begin learning Norwegian?
46_5	Is it easier to learn than Spanish?
46_6	What other languages are closest to it?
46_7	Describe some of its similarities with Danish.
46_8	How did all these languages evolve?
46_9	How is it related to Old Norse?
46_10	Are there advantages of knowing multiple languages?
47_1	Why is Boise called the city of trees?
47_2	How did it get its name?
47_3	What is there to do in the summer?
47_4	What are popular hiking trails? 
47_5	Tell me about the Oregon Trail Reserve.
47_6	Tell me about the history of the Boise Greenbelt.
47_7	What is the controversy around it?
48_1	What is the main function of a virtual machine?
48_2	What are its advantages?
48_3	Describe some of its disadvantages.
48_4	How do they work?
48_5	What are the main types of VMs?
48_6	What is their role in cloud computing?
48_7	How is a container different?
48_8	What is the advantage of Docker?
48_9	How is it related Kurbenetes?
49_1	How was Netflix started? 
49_2	How did it originally work?
49_3	What is its relationship with Blockbuster?
49_4	When did Netflix shift from DVDs to a streaming service?
49_5	What are its other competitors? 
49_6	How does it compare to Amazon Prime Video?
49_7	Describe it’s subscriber growth over time.
49_8	How has it changed the way TV is watched?
49_9	How has it impacted society?
49_10	How about dating and relationships? 
50_1	What was the first artificial satellite?
50_2	What are the types of orbits?
50_3	What are the important classes of satellite?
50_4	How do navigation systems work?
50_5	What is the Galileo system and why is it important?
50_6	Why did it create tension with the US?
50_7	What are Cubesats?
50_8	What are their advantages? 
50_9	What are they used for?
50_10	What is their future?
51_1	How do I save for a child’s college education in the US?
51_2	What is a 529 plan?
51_3	How does it work?
51_4	What are the main advantages?
51_5	What about disadvantages?
51_6	How long have they been around?
51_7	What are the types of plans?
51_8	What can the funds be used for?
